,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,MHB_fnf,PAR_fnf,NHG_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf,ORO_otf,SHA_otf,FOL_otf,YRS_otf,MHB_otf,PAR_otf,NHG_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,PFT_otf,KWH_otf,SUC_otf,ISB_otf
0,474582.01327149716,97751.0542895766,25637.158204241783,215.21415552102522,258.7817245894086,1795.5150757288168,55.79792038915751,1079.7375547511363,1398.3187949032458,197.83001887148217,367.49300300873335,137.9769901964004,59.51859448115414,93.81901712470898,1229.506365755116,5048.123120991064,13353.452576483574,533.1547153424774,136.53037430071532,1256.992313450625,95.92572699132941,9689.307128061962,1782.3688014665104,91.14889201126655,365.1560203407529,7.259846386541771,56.021523933819644,25.090135476855224,221.03280078115463,33.68543154839827
1,317324.06804543897,54334.35225446595,23500.343758055657,214.96665016697972,261.20266646595263,2016.223335856628,50.94529268729904,1079.7375547511363,3025.16860860287,209.3290792148686,574.6009852481787,112.52492404366636,43.79400201936289,100.77004736250133,1158.962629271458,7417.166821925454,12210.224302106815,959.5753482444834,136.53037430071532,1136.8537799422365,76.85717721476236,4750.516831868169,1329.4960728354686,90.2157021146042,555.7006741109126,5.31285536425848,60.1736978184707,18.379822636370037,200.70791443327806,33.68543154839827
2,173775.645829981,31991.25413113416,15758.891161872907,293.8383563228105,256.3638667152551,1963.8241882152277,104.92397529159247,1079.7375547511363,2209.826134390196,370.35286879446716,380.92268705309124,135.8591741656466,39.97277948370789,116.40624883653635,1244.3664664581825,15338.630946449814,10502.356338580583,458.1435735619812,103.18987515517468,1037.2507274409961,65.81601460806745,2396.952277048767,960.7432838890035,35.35869931860821,561.83935496691,4.701370743717241,59.27834543491178,38.80184778789231,190.54411825132837,33.68543154839827
3,121824.36035351534,25897.681915680034,11456.648339551719,1378.934829172129,362.7712011947436,1739.4120382333467,1527.1778020423637,2014.2633772208994,1387.8169773832742,0.0,242.69278901817873,163.23768743069286,41.14880870244372,192.85311520826113,1381.8223979615468,17076.68500773533,9713.371904179745,699.3835311029361,103.18987515517468,940.5429389771009,62.23180616128779,1846.6594584812742,1163.0703578863,138.91499293334252,316.6195170393333,4.050683497926858,46.08694188569539,404.3499698605605,180.3830280854015,29.456988484538883
4,71403.5316654104,19881.80274597295,9569.051992920777,1887.8058370896645,1685.7157066483626,1654.7672612741615,2374.430410091759,1355.81341707864,1193.515432073493,240.76908034650526,228.71225657167327,131.71284759941173,29.24543877630748,646.3156159187688,1314.9519447977477,10248.895057842336,7474.574083692062,831.7886998771431,103.18987515517468,879.026040204234,54.05830549080572,1470.0150293306322,1017.4597925980144,105.23776000964439,253.70758732446913,6.525955794255986,43.15562018188486,144.9933145060179,175.30112999442665,31.177098932004185
5,52361.27940509075,16079.159784687261,8411.941586986033,1474.2738915504533,1320.5081435651223,1565.5470909658309,653.2005776638924,1337.6724487890065,1196.9921429930741,232.33643609468854,217.10037225440234,136.43328092097144,32.77178158204207,651.5234637556164,1318.6669699735146,9626.763581596957,5793.732106316576,343.27209802369634,103.18987515517468,975.7039805852702,57.35619051214776,977.6375074018869,1157.3414176126626,67.45219209940808,263.72045787625154,6.819839174079194,43.725472768162184,66.95452102002831,172.76018094893925,30.81832194476763
6,44228.79709482888,13303.537640547907,7513.187277590165,1209.773169860502,890.0122498749558,1538.8572964291511,527.0481807222229,1195.0922767224874,979.9665283738663,197.06341484858973,212.19782147528892,139.62276289499826,34.53582541014581,449.9906021526093,1459.8379266526456,6723.964034652044,5035.260882085937,678.437138058984,103.18987515517468,928.8424904962839,57.78641359727697,1071.7254893150036,1011.7308523243769,118.67032915872682,222.63494898271156,11.413470853133976,44.86608970485486,40.98959361807788,177.8420790399141,31.248543700025312
7,40190.63771563117,9555.22903151669,6914.87923265805,4290.4228105939565,648.1647824117935,1461.6202991781056,3108.2294582535687,1195.0922767224874,948.1743367690377,256.8770010202933,204.66221533391013,194.0991150113764,144.6079726426845,337.063484995967,1474.698027355712,6732.616194255456,4339.269088203798,366.24335962041283,103.18987515517468,829.2095899121844,57.28460965578836,1028.3377670856387,991.8705260424338,68.29148814609826,204.4044309917006,12.710047248717627,49.75132195649306,44.197674688392034,170.21923190345183,31.319988468046446
8,36014.87763436066,9850.513385123904,5897.4232654740445,7754.507745814692,536.9248161863884,1462.4918026731807,3886.4810708157775,1981.9287809639136,916.7047265897371,278.3419136612814,201.4011927931965,785.1739144380274,508.18770023265637,302.3083338070051,9980.895166039918,6197.212317844284,4114.343138949194,525.0400735767176,103.18987515517468,785.2433638605429,58.00115616635517,774.8559687667572,972.0101997604907,132.5723675576702,184.37323328293033,8.228734635049824,55.20731855854661,24.94306012692678,170.21923190345183,31.319988468046446
9,33184.23462029161,8454.069752415668,5626.144748958233,7073.538015050855,476.4475293086453,1406.3887651777104,7750.404123876129,2050.5173184787322,908.3176095260055,683.2011996789549,201.85288848295747,490.0192525615851,302.2953444302411,309.2521309228019,16529.774939366012,13789.276366038719,4147.18116513236,656.8082050534259,120.05876651519036,902.4567852487273,60.5824946771304,774.8559687667572,1054.315975025082,131.2693508641786,170.76445990083474,10.41023259919204,43.399972970880576,21.296817076617476,198.1669653877906,31.319988468046446
