,CAISO,PNW
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,915.8748434528575,0.0
8,3489.8272210278824,0.0
9,5842.593366284239,0.0
10,6609.372304988956,0.0
11,6378.355573456124,0.0
12,6185.022422244252,0.0
13,5609.938218215714,0.0
14,4499.091807015289,0.0
15,2578.867627182106,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,930.8091449381548,0.0
32,3377.4805512178996,0.0
33,4660.640526324951,0.0
34,5162.787565041587,0.0
35,5500.064562903793,0.0
36,5436.942890119526,0.0
37,5300.33628484014,0.0
38,4684.193389304155,0.0
39,2939.3972998046993,0.0
40,458.8097708349002,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,343.7363811630664,0.0
56,2694.6309771284527,0.0
57,4642.782674183434,0.0
58,5599.999517640257,0.0
59,5597.189683461813,0.0
60,5198.193230122666,0.0
61,5317.142877010158,0.0
62,4786.084217284113,0.0
63,2876.3335873345427,0.0
64,310.95498241454516,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,697.0764866782118,0.0
80,2625.9591667004547,0.0
81,4121.578877564623,0.0
82,4600.501878601182,0.0
83,5046.955523635263,0.0
84,4888.66741312318,0.0
85,4819.670031617913,0.0
86,3195.187564118907,0.0
87,1681.3038405033437,0.0
88,250.62284164413146,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,781.3565704160297,0.0
104,2702.1914726887694,0.0
105,4256.765482578995,0.0
106,4810.226386623683,0.0
107,5283.652503073673,0.0
108,5289.078590368229,0.0
109,4682.713335201623,0.0
110,4354.435053880999,0.0
111,1825.8783746180138,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,252.1488349258598,0.0
128,879.1363741206991,0.0
129,1608.506493939797,0.0
130,1770.9648036906867,0.0
131,2475.79694964116,0.0
132,2220.2635665954904,0.0
133,1584.8146571011257,0.0
134,1090.6706316088364,0.0
135,710.7551051601416,0.0
136,19.461151688908647,0.0
137,19.461151688908647,0.0
138,21.15342574881374,0.0
139,21.15342574881374,0.0
140,21.15342574881374,0.0
141,8.461370299525496,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,131.59883124559306,0.0
152,677.0028762967733,0.0
153,910.9563540667165,0.0
154,1683.0028307075288,0.0
155,2006.1510718772631,0.0
156,1786.8196864679412,0.0
157,1225.3313398200776,0.0
158,897.7964709421572,0.0
159,511.77323262175076,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,303.4175866693192,0.0
176,1057.8888340584651,0.0
177,1935.5598397932072,0.0
178,2131.0503654325003,0.0
179,2979.1941563571404,0.0
180,2671.7038504036695,0.0
181,1907.0508048041436,0.0
182,1312.433789317961,0.0
183,855.2710496719062,0.0
184,23.41813588387363,0.0
185,23.41813588387363,0.0
186,25.454495525949593,0.0
187,25.454495525949593,0.0
188,25.454495525949593,0.0
189,10.181798210379839,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.0,0.0
198,0.0,0.0
199,460.8882974431223,0.0
200,2555.404635480874,0.0
201,4065.9186788132984,0.0
202,3870.1989908580003,0.0
203,3986.999449799066,0.0
204,3762.868839398643,0.0
205,3682.3712258041246,0.0
206,2716.39986266991,0.0
207,1319.5295091179805,0.0
208,220.9738412398532,0.0
209,0.0,0.0
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,0.0,0.0
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
222,0.0,0.0
223,272.44093219161886,0.0
224,1126.7618800517569,0.0
225,2122.3484964556974,0.0
226,2917.8087490892513,0.0
227,3329.833615675341,0.0
228,3331.5153498246723,0.0
229,2988.4415833611524,0.0
230,2236.706418610204,0.0
231,1125.0801459024258,0.0
232,235.44278090633725,0.0
233,0.0,0.0
234,0.0,0.0
235,0.0,0.0
236,0.0,0.0
237,0.0,0.0
238,0.0,0.0
239,0.0,0.0
240,0.0,0.0
241,0.0,0.0
242,0.0,0.0
243,0.0,0.0
244,0.0,0.0
245,0.0,0.0
246,0.0,0.0
247,594.5518368218184,0.0
248,2096.321735279109,0.0
249,3131.5223448952993,0.0
250,3828.1362136511084,0.0
251,4003.0996969665207,0.0
252,4309.285792768493,0.0
253,3528.4302468608184,0.0
254,3052.1407645021955,0.0
255,1935.938542239981,0.0
256,591.3117723159774,0.0
257,0.0,0.0
258,0.0,0.0
259,0.0,0.0
260,0.0,0.0
261,0.0,0.0
262,0.0,0.0
263,0.0,0.0
264,0.0,0.0
265,0.0,0.0
266,0.0,0.0
267,0.0,0.0
268,0.0,0.0
269,0.0,0.0
270,0.0,0.0
271,261.7911756926438,0.0
272,1478.0293460980515,0.0
273,2829.253591469979,0.0
274,3528.7268890237615,0.0
275,3985.4979507791554,0.0
276,3906.4151997886693,0.0
277,2836.071070003641,0.0
278,2206.1360534932173,0.0
279,1427.580004948948,0.0
280,152.71151915404224,0.0
281,0.0,0.0
282,0.0,0.0
283,0.0,0.0
284,0.0,0.0
285,0.0,0.0
286,0.0,0.0
287,0.0,0.0
288,0.0,0.0
289,0.0,0.0
290,0.0,0.0
291,0.0,0.0
292,6.791159589408122,0.0
293,48.896349043738475,0.0
294,100.50916192324021,0.0
295,305.60218152336546,0.0
296,1049.9132725224956,0.0
297,1719.5216080381363,0.0
298,2436.668060679634,0.0
299,3505.5965800524723,0.0
300,3691.674352802255,0.0
301,3185.053847432409,0.0
302,3022.0660172866137,0.0
303,1606.7883588539617,0.0
304,282.51223891937786,0.0
305,283.8704708372595,0.0
306,278.43754316573296,0.0
307,277.07931124785136,0.0
308,256.705832479627,0.0
309,71.98629164772609,0.0
310,0.0,0.0
311,0.0,0.0
312,0.0,0.0
313,0.0,0.0
314,0.0,0.0
315,0.0,0.0
316,0.0,0.0
317,0.0,0.0
318,0.0,0.0
319,182.16408334838826,0.0
320,1733.9829287147334,0.0
321,3074.874940730313,0.0
322,4456.856595606431,0.0
323,5051.286762322224,0.0
324,5117.030190899088,0.0
325,4037.7422384289366,0.0
326,3240.6031669344857,0.0
327,2072.2876549331686,0.0
328,0.0,0.0
329,0.0,0.0
330,0.0,0.0
331,0.0,0.0
332,0.0,0.0
333,0.0,0.0
334,0.0,0.0
335,0.0,0.0
336,0.0,0.0
337,0.0,0.0
338,0.0,0.0
339,0.0,0.0
340,0.0,0.0
341,0.0,0.0
342,0.0,0.0
343,488.0420859821184,0.0
344,3043.8683559681394,0.0
345,4041.4386575039157,0.0
346,4309.503702634555,0.0
347,4193.887862559127,0.0
348,4434.327883954929,0.0
349,4800.615235698322,0.0
350,4475.253845043577,0.0
351,3225.988882812619,0.0
352,887.0702065964291,0.0
353,0.0,0.0
354,0.0,0.0
355,0.0,0.0
