,BPA_Load_sim,SDGE_Load_sim,SCE_Load_sim,PGEV_Load_sim,PGEB_Load_sim,Path8_sim,Path3_sim,Path14_sim,Path65_sim,Path66_sim,Path46_sim,Path61_sim,Path42_sim,Path24_sim,Path45_sim
0,9257.262313067966,2995.138149152385,12395.659405349812,7833.706201474775,5763.59935451375,1877.8446289692088,-96.18674891643948,502.0060311112061,-458.9284932503439,194.829534011301,5250.702259368315,1767.743427565583,-396.42117078795366,-56.37605925744908,5.208181007977551
1,9170.573125616453,2891.972783734299,12580.64524895179,8006.836214096985,5578.656705120705,1681.0050786874942,-510.8803684451892,107.10709142605634,-748.5429485929035,459.30930054972066,4352.789365313806,1570.9038772838685,-404.8624685130452,-38.69708842443037,90.01117467055369
2,9083.21120712525,2828.0375637952575,12955.646537444114,8248.336246811748,5654.987867982312,1897.4653532529862,-1447.7128030151543,373.95919008079386,-578.1176694922829,319.46515604694673,3478.4890071873706,1787.3641518493605,-240.97204609186636,-36.587424006509174,157.59545466723162
3,9810.40843244308,2682.249182427306,11703.297273454196,7393.7125018016895,5973.127642166525,1932.8463935855975,-2476.7678624491655,293.5533976312971,-209.92344085116895,1214.2544690056889,2863.8666142583756,1822.7451921819718,-322.85412756177254,-11.16355776226275,108.92802718928147
4,8049.623431897344,2685.516877941222,11593.245735637238,7473.752140371292,5927.186666660064,1560.3755792980864,-345.4570869387018,845.7653884114989,-863.3226493255758,936.3959755080614,4373.946571470598,1450.2743778944607,-152.99876878146793,-34.96420143874205,-16.392755246947935
5,6728.38102034527,2760.0588902650934,11539.627667642304,6555.34281774817,5624.087536295873,1404.5716291960355,207.72354806310796,586.4809334956848,368.9044422447098,1900.7208385610734,4246.344519378361,1294.4704277924097,-210.87524703910805,-15.657428105758271,98.99471065611681
6,6810.190660932354,2859.3749493103587,12657.085715270598,7719.130843989191,6203.451865710307,1163.9648277900465,-316.61902248150733,646.0835147985626,597.2642416414515,1992.6399513238216,4360.956794556344,1053.8636263864207,-222.941605243696,-36.00640589153343,172.73958532918664
7,6536.904263080253,2875.3333278367195,12645.604412907753,7464.450720318492,5981.291058603723,879.6191967635646,533.1073103773012,240.68419844117955,1138.3296550730477,1625.8163188419528,4748.821232578485,769.5179953599388,-202.05516116539957,-48.6962811617058,36.24508122835065
8,6706.1532588949385,2856.7048489742806,13164.969573653732,7633.62576688954,5796.470066450319,942.2565142002644,-119.77089934333895,636.3273763715085,1854.1432038799433,3388.2893967657624,4253.463500892339,832.1553127966387,-246.53098087933583,-13.936272065471597,269.7933439372926
9,7120.977270068113,2749.53280237075,12137.355031688261,7276.754359016035,5731.622263223733,1468.0417221896503,319.8741177374099,1082.2891344233494,1568.460955342258,2787.7125800977688,3680.660652021239,1357.9405207860245,-199.904026672913,-12.427409431990913,210.75977210705258
