,BPA,PNW,SDGE,SCE,PGE_valley,PGE_bay
0,7623.159087995554,17600.703866105778,2315.340745198069,11043.886303425561,6193.379017853251,4773.650828378329
1,7507.181813000395,17307.339082601135,2165.1741557561127,10528.846779013085,5791.551094176816,4671.002752528715
2,7454.55888638509,17295.36178911265,2046.4731305724733,10076.629201808062,5563.854727958091,4525.9351863666225
3,7507.261561180432,17537.084285883233,1972.7456685583293,9673.643348433106,5440.107411285385,4433.977296197653
4,7666.776751532112,18209.989250214538,1934.1986296095617,9538.311013430839,5283.814233196598,4434.453089868375
5,7971.369918260936,19629.932354990102,1937.527404902146,9554.880563205945,5273.323902002514,4438.624575413444
6,8292.350111444675,22273.096346078582,1997.0857169179471,9743.103233077198,5391.405525197252,4485.751744195129
7,8623.538541176586,23981.68160625887,2097.4144611238,9823.387523764566,5622.843349166948,4839.5724969017665
8,8881.649970143164,24090.482077025725,2176.2064515616025,9746.337623814317,5898.33897313868,5038.646015255376
9,8993.361346850459,23719.243768765777,2246.6776978417142,9906.954486541357,6031.820038555674,5172.347138260981
10,8921.136113266779,23205.38474339999,2284.5159364702813,10093.242763678589,6243.518976492362,5199.738076146083
11,8734.63338382363,22511.632239977207,2293.5796338886717,10253.142056938625,6230.438890243568,5100.020542835577
12,8494.50845294281,21806.917754158305,2283.6940416663515,10310.335194495852,6149.653665073939,5040.715923497698
13,8314.330687606913,21208.658250447726,2273.715688369967,10271.393448046816,6026.80712867156,4894.150979602969
14,8146.686710066521,20742.184409915324,2263.3052644582567,10106.658529106075,5935.546081563103,4972.125677517403
15,8183.4936229598225,20998.125073573952,2261.815297502784,10040.123398614434,5822.869489093451,4969.278173246527
16,8615.095943170883,22737.497933981947,2297.272659139235,9957.794968654976,6092.240312065939,4985.721892066498
17,9089.03623548045,24777.324358598486,2490.8678223381785,10471.233498567528,6637.491855424558,5205.06915407712
18,9116.39795618998,24930.01249958862,2834.0333587788323,11996.985387110537,7519.557250033351,5692.021639688687
19,8998.815662164532,24507.38562662729,2983.371971561306,12395.659405349808,7787.490021465029,5692.96404304214
20,8800.447588928862,23667.029052644462,2957.517027979831,12314.525371873404,7745.87020010965,5633.297117790724
21,8469.089106843321,22053.97313098152,2878.0465616966767,12154.60380606406,7501.714141960598,5423.331803100942
22,8000.119520232002,20105.119157416735,2698.5706411021806,11865.452824817894,6979.891427294875,5201.585009036449
23,7591.9530853942415,18636.33583715616,2464.3671454159853,11246.95168422373,6524.144668753353,4894.21208381917
24,7098.17749357193,17575.42885602987,2157.090230282359,9955.437380612151,5954.6328839169,4344.977460433652
25,7003.743509390862,17304.639765817446,1991.4730069086813,9524.116808444549,5734.375268780291,4221.813941048858
26,7028.684364661898,17329.058088581194,1898.0091713590907,9183.786865249074,5417.725585844326,4096.471052172394
27,7141.959425447606,17600.765024749566,1853.5281406441754,8955.212332108773,5379.783767522897,3965.2791000107954
28,7395.755303873191,18340.079061830435,1834.9365956548465,8946.076389431353,5242.945299611128,3989.242353172914
29,7843.555986189483,19987.995794420145,1858.5373804508722,9123.333415372455,5252.970222423371,4071.576230936154
30,8334.407169512951,23034.533650247526,1943.9501434563379,9516.37893845534,5433.91850241393,4270.144158376226
31,8784.395201529536,24811.98423485169,2073.834826500123,9907.605231969317,5844.9861510475175,4684.831085578977
32,9028.895315356374,24669.6463200524,2167.2882877722786,10150.600963536619,6064.695340093585,4837.0783626023895
33,9077.15126733733,23991.65791911784,2253.3913248826457,10546.88376259739,6212.233469965491,4985.444602845557
34,8928.62476100722,23199.678716213326,2294.1256347581175,10801.482013727933,6505.983693868983,5025.593168358644
35,8692.214254433326,22465.46367869915,2295.5755861239045,11016.885817103264,6540.817998277621,4882.9992340762965
36,8412.596114551076,21738.392753230117,2278.338192092264,11037.29498889242,6469.261541108211,4828.456958952994
37,8175.601295792997,21139.924491760634,2261.329325070765,10942.033704408,6325.769913657246,4737.171712318468
38,8014.781183378616,20733.029930439523,2244.6179942097533,10765.95936231704,6229.176836579548,4780.9539538920535
39,8076.911438832071,21114.35306049214,2237.963535634408,10673.13826318674,6236.105871187707,4717.809460123709
40,8470.31578441973,22914.512135125144,2267.9230054951868,10594.706595372927,6235.846512645173,4885.720587698323
41,8933.601785423667,24967.064398465212,2457.3442825864427,11003.047594645992,6894.950165704698,5017.078414266893
42,8941.381586151996,25071.82577350111,2772.0898792168537,12395.697843058842,7821.6659285262895,5544.808018420711
43,8809.695888285096,24630.106454898047,2886.7997537356646,12521.955027394828,7966.043560563241,5503.517871503022
44,8586.289910483181,23821.1190057586,2829.61743789705,12397.919072661982,7831.920405461785,5391.004257119486
45,8223.29234617844,22238.87710249599,2742.7137601308186,12263.962143373239,7603.21474001477,5132.209304381395
46,7714.499485720799,20069.336193331932,2615.2363538886993,11775.974360366637,7146.594849077103,4870.466082887459
47,7289.828831488902,18550.92944083101,2397.739403473726,11106.814537789402,6632.577202986417,4558.988915987825
48,6869.956574564939,17577.11430930788,2166.2377875230536,10483.369674475869,6449.9401186521945,4420.747475782955
49,6770.77397733602,17300.271671062186,1963.2871538331867,9539.60065463011,5934.8995077252985,4308.571033230172
50,6780.892155837851,17357.64089677612,1865.2399889996207,9170.907435568053,5612.446698118871,4227.506775703735
51,6881.438036844114,17666.435333503974,1816.6514619562656,8927.691294097478,5530.693302995884,4213.9648210197065
52,7126.870205817292,18400.72531206173,1802.5724349515044,8910.926318819824,5403.726585678596,4255.092324796058
53,7628.55803428601,20291.527438471545,1836.423615640864,9117.892140420437,5466.340696953625,4348.127161379161
54,8272.365315370582,23584.005320850112,1937.049317482688,9655.340875410737,5769.73189498695,4582.3607797775385
55,8725.975195502324,25341.41037508911,2090.8870078681935,10291.977102058938,6206.550836077368,4973.140936995644
56,8865.56029535003,25179.00320946668,2214.30760093652,10666.128563763727,6715.474159554226,5046.862771780535
57,8814.776721598319,24371.01899254799,2279.0144180055217,10998.78532907193,6381.984892351727,5497.952115605889
58,8508.474108503171,23312.068097747226,2313.889489918076,11256.922922448917,6855.845430205492,5265.486856998743
59,8375.783924406984,22510.867140454917,2320.3623385998894,11426.57653459992,6866.814440082878,5206.718097812258
60,8192.555809865853,21773.41174342467,2312.322691751106,11411.600075339526,6810.11852010182,5097.753483904996
61,8028.5946783835125,21286.56031086723,2301.8446967824284,11314.988040011254,6615.806124231627,5041.546785228994
62,7904.193966474194,20932.94069416562,2289.3184707163987,11174.898929146388,6596.359333030706,4979.201598597639
63,7950.183315412548,21268.39234959089,2285.175475051221,11081.772684196578,6523.631597771915,4993.589422512118
64,8364.19615816063,22875.254993377726,2308.5842395235823,10963.369322228344,6680.99021412587,5016.183713682114
65,8829.420720944017,24833.779227170704,2465.2426809602507,11334.17532423968,7165.589442764329,5135.424658258773
66,8817.279687407827,24910.519897971244,2733.7480908635994,12625.950585798062,8040.841890542116,5531.86163733147
67,8694.348753960674,24545.785651841845,2828.037563795257,12935.642219790705,8234.726942486073,5563.566177338899
68,8498.752606352005,23694.844234134707,2770.314449691632,12771.691781490896,8086.567686483195,5464.098945359049
69,8140.873383760442,22011.8742112879,2686.3563463468945,12539.227080351084,7878.086255085554,5349.907710375724
70,7597.459722930908,19875.015513359096,2561.594355860891,11956.598028156377,7458.3757124035865,5069.634756187305
71,7147.8506490678365,18362.93575531228,2348.390770242904,11140.287222091636,6922.790508384301,4765.306350549638
72,7489.218780413568,18143.722148283334,1984.2924607939435,9049.237028468404,5387.070698442436,4515.829869324728
73,7321.59936564154,17745.812911536068,1808.3687274977667,8392.179584244852,5108.895847365339,4416.360090877665
74,7321.100672988014,17729.190071050907,1723.002581515071,8088.4747896047165,4814.245208585589,4392.724744612903
75,7418.037811223898,17936.37987182324,1679.0809481406818,7917.328156785238,4768.167946855715,4310.510296463
76,7716.712482993663,18644.64715813385,1663.588714819313,7926.403561622488,4713.1710761692275,4375.341272249098
77,8292.337201777738,20282.04373834293,1704.5352099169163,8160.082467820416,4772.467076387908,4535.574399993425
78,9076.398433918059,23389.264093460893,1823.4119432184102,8803.50160565628,5087.942002863431,4789.274050879019
79,9567.70994978542,25111.244233125744,2022.9910772514172,9593.044397213145,5624.938407138014,5311.026031943027
80,9611.122695454189,24910.48689676096,2152.8160129509633,10033.409293310113,5911.022882631697,5632.339703857728
81,9525.731633322404,24397.700297493564,2218.4743832667614,10293.483337012996,5905.744799259006,5700.1802542088035
82,9353.457880780332,23896.123451310792,2245.9406784212283,10504.546608900648,6082.507109270167,5765.5126705204075
83,9194.266100720492,23392.714648820147,2257.8978802994993,10622.251540155123,6197.948050524945,5517.12017824343
84,9008.144276653,22909.18916299971,2249.708895396353,10597.823634742277,6138.635581941222,5380.083463456057
85,8837.765639967343,22494.841272451056,2241.23133453329,10496.701025917102,5962.979582037543,5273.524036061412
86,8708.521375069628,22229.356966536565,2233.4730566065896,10380.994720576717,5886.474379873871,5268.497102754363
87,8767.582783539572,22471.40129760128,2224.324592968613,10263.586359824454,5885.157827568019,5248.922055862385
88,9123.068147276068,23821.084717023023,2233.855131148057,10131.69066383854,5962.785839255476,5334.093170045011
89,9547.710964739304,25234.057862620473,2363.686998399386,10391.858861788913,6353.982971624839,5524.365869275471
90,9515.289280535359,25040.163563875685,2601.5922695492086,11478.39160587953,7170.791485009408,5874.924061383494
91,9331.767328424003,24382.232145838625,2682.2491824273056,11693.039169313128,7248.467490855885,5883.636477437699
92,9067.967080936727,23329.89545101162,2626.0100864917326,11547.224587869698,7375.539542344176,5520.649024907691
93,8627.877336537671,21507.945255428014,2541.445277661751,11281.462104575998,7150.123192301011,5381.907520998788
94,8051.879003248804,19600.845327751285,2408.551324012823,10720.722766095882,6642.779011765944,5253.248785811337
95,7550.4525636967755,18163.188334044673,2185.691280835396,9892.495949737742,6088.899263647391,4880.137080866023
96,6179.188763108094,16160.216333783928,1968.9314450516556,9018.500505434426,5638.154011282916,4380.205602550117
97,6062.42246365486,15782.658247960413,1802.581907853101,8445.55864003202,5278.856263731515,4267.20529147887
98,6043.608009652133,15687.91204860418,1715.6613514578723,8145.758733235123,5085.031052621155,4175.587382014774
99,6111.88510610278,15842.725257281507,1668.3332059246668,7948.604961207256,4981.569192033825,4144.627597465766
100,6340.3816279085595,16476.399458642714,1653.5494115827332,7909.688292820816,4976.328313526344,4201.897399148656
101,6834.336983933924,17944.843794515094,1685.5000164145495,8090.250076964883,4986.920745223115,4273.278429855598
102,7477.95696657591,20584.916486832943,1793.3255883954623,8635.858808707466,5196.147461887019,4541.533756571275
103,7830.282640255563,22281.56977811476,1990.281694816124,9386.038982656559,5670.081093825269,5084.419374709368
104,7832.717497372499,22239.681842666087,2095.8551069818923,9688.405987946928,5903.978513968939,5339.135893243212
105,7747.490416305693,21844.5669520147,2161.030145026408,9934.828196539962,5968.807461585943,5527.738193722719
106,7618.835861686739,21467.53240437457,2192.8142524442137,10182.782972958039,6211.47108777788,5554.371738388888
107,7468.916170013695,21149.61507416288,2212.425982188417,10320.649651696665,6177.760712532744,5414.014403691584
108,7337.07689389294,20827.047591391234,2211.659053890392,10329.635221454684,6079.404844954988,5329.498826861582
109,7224.2715534567,20568.616357769853,2204.8545061534255,10277.540808249203,5898.563270037929,5278.550355309936
110,7122.431686722243,20378.8668401061,2193.342094109778,10159.614726634218,5903.327003282438,5204.423869422055
